id,sourceFile,sourceType,section,domain,skill,difficulty,decision,reason,previousVisibility,previousPublicationStatus
antigravity-5ef3ad2d,antigravity-bank.json,antigravity,Reading and Writing,Expression of Ideas,Transitions,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-96aed225,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Words in Context,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-98654244,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Words in Context,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-07384f7a,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-745df097,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-247c8dd0,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-fb714e8f,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-8a2f1bb5,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-6024a553,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-45986146,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-8168e61d,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-c9926f70,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-1286d4a8,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-4a19223d,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,hold_private,lifecycle:needs_repair,private_family,private_reviewed
antigravity-d60e6dd8,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-3cffc2f6,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-9ab6d1a4,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-0f19c7e3,antigravity-bank.json,antigravity,Math,Algebra,Linear inequalities in one or two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-53510557,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-a1560e7c,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-800a224b,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear functions,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
